structure	structure_verbose	grew_pattern_sud	grew_pattern_ud
Subj. + 简直 + Predicate	"Expressing ""simply"" with ""jianzhi"""	pattern {  }	pattern {  }
Subj. + 简直 + 是 + Predicate	"Expressing ""simply"" with ""jianzhi"""	pattern {  }	pattern {  }
Subj. + 一向 + Habit / Attitude / etc.	"Expressing ""since the beginning"" with ""yixiang"""	pattern {  }	pattern {  }
千万 + Verb / Verb Phrase	"Expressing ""to make certain"" with ""qianwan"""	pattern {  }	pattern {  }
白 + Verb + 了	"Expressing wasted efforts with ""bai"""	pattern {  }	pattern {  }
白白 + Verb + 了	"Expressing wasted efforts with ""bai"""	pattern {  }	pattern {  }
Subj. + Verb Phrase 1, 顺便 + Verb Phrase 2	"Expressing ""while you're at it"" with ""shunbian"""	pattern {  }	pattern {  }
顺便 说 一下……	"Expressing ""while you're at it"" with ""shunbian"""	pattern {  }	pattern {  }
顺便 问 一下……	"Expressing ""while you're at it"" with ""shunbian"""	pattern {  }	pattern {  }
Subj. ＋ Verb + 了 + 又 + Verb， (还是 / 就是) ……	"Repeated actions in the past with ""you"""	pattern {  }	pattern {  }
难道 + [Rhetorical Question] + 吗？	"Rhetorical questions with ""nandao"""	pattern {  }	pattern {  }
Subj. + 差很多	"The opposite of ""chabuduo"" is ""cha hen duo"""	pattern {  }	pattern {  }
A + 跟 / 和 + B + 差很多	"The opposite of ""chabuduo"" is ""cha hen duo"""	pattern {  }	pattern {  }
A 啊， B 啊， C 啊 (+ 什么的)⋯⋯	"Listing things with ""a"""	pattern {  }	pattern {  }
⋯⋯ ，于是 ⋯⋯ + 了	"Expressing ""and then"" with ""yushi"""	pattern {  }	pattern {  }
不是……，而是……	"Using ""er"" to explain contrasting ideas"	pattern {  }	pattern {  }
是……，而不是……	"Using ""er"" to explain contrasting ideas"	pattern {  }	pattern {  }
Sentence 1， + 而 + Sentence 2	"Using ""er"" to explain contrasting ideas"	pattern {  }	pattern {  }
Group / Process + 当中	"Expressing ""among"" with ""dangzhong"""	pattern {  }	pattern {  }
彼此 + Predicate	"Expressing ""each other"" with ""bici"""	pattern {  }	pattern {  }
Verb + 彼此	"Expressing ""each other"" with ""bici"""	pattern {  }	pattern {  }
彼此 + 的 + Noun	"Expressing ""each other"" with ""bici"""	pattern {  }	pattern {  }
当 + Phrase (+ 时候)，……	"Expressing ""when"" using ""dang"""	pattern {  }	pattern {  }
Category / Group / Context + 其中	"Expressing ""within (it/them)"" with ""qizhong"""	pattern {  }	pattern {  }
Subj. + 这个 + [Category]	"Name-calling with ""zhege"""	pattern {  }	pattern {  }
Subj. + 这种 / 这类 + [Category]	"Name-calling with ""zhege"""	pattern {  }	pattern {  }
Subj. + Verb + 了 + Obj.	"Advanced ""le"" after an object"	pattern {  }	pattern {  }
Subj. + Verb + Obj. + 了	"Advanced ""le"" after an object"	pattern {  }	pattern {  }
Subj. + Verb + Complement + 了	"Advanced ""le"" with complements"	pattern {  }	pattern {  }
Subj. + Verb + 了 + Complement	"Advanced ""le"" with complements"	pattern {  }	pattern {  }
Topic + 嘛 ，Statement	"Marking a topic with ""ma"""	pattern {  }	pattern {  }
Option 1 + 呢 + 还是 + Option 2 + 呢？	"Softening the tone of questions with ""ne"""	pattern {  }	pattern {  }
⋯⋯Interrogative Pronoun⋯⋯ + 呢？	"Softening the tone of questions with ""ne"""	pattern {  }	pattern {  }
Subj. + Verb 1 + 不 + Verb 1 + (Verb 2) + 呢？	"Softening the tone of questions with ""ne"""	pattern {  }	pattern {  }
Amount / Level + 以上 / 以下	Defining upper and lower limits	pattern {  }	pattern {  }
[Amount / Time / Place / Scope] + 以内 / 以外	Defining upper and lower limits	pattern {  }	pattern {  }
Subj. + 随着 + Noun + Verb Phrase	"Expressing ""along with…"" with ""suizhe"""	pattern {  }	pattern {  }
随着 + Trend，Subj. + Predicate	"Expressing ""along with…"" with ""suizhe"""	pattern {  }	pattern {  }
自从 + [Starting Point] ， ……	"Expressing ""ever since"" with ""zicong"""	pattern {  }	pattern {  }
从 / 自从 / 自 + Time / Event + (以)后 / 以来	"Expressing ""ever since"" with ""zicong"""	pattern {  }	pattern {  }
对 + [Person / Group] + 而言 ，⋯⋯	"Expressing ""for…"" with ""eryan"""	pattern {  }	pattern {  }
(包括)⋯⋯ 在内 ，⋯⋯	"Expressing ""including"" with ""zainei"""	pattern {  }	pattern {  }
⋯⋯ ，(包括)⋯⋯ 在内	"Expressing ""including"" with ""zainei"""	pattern {  }	pattern {  }
凭 + Noun / Noun Phrase ……	"Expressing ""on the basis of"" with ""ping"""	pattern {  }	pattern {  }
凭 + Verb Phrase ……	"Expressing ""on the basis of"" with ""ping"""	pattern {  }	pattern {  }
Subj. + 凭什么 + Verb Phrase …… ？！	"Expressing ""on the basis of"" with ""ping"""	pattern {  }	pattern {  }
凭着 + Noun / Noun Phrase ……	"Expressing ""on the basis of"" with ""ping"""	pattern {  }	pattern {  }
Receiver + 给 + The Doer + Verb Phrase	"Expressing passive voice with ""gei"""	pattern {  }	pattern {  }
Receiver + 被 + The Doer + 给 + Verb Phrase	"Expressing passive voice with ""gei"""	pattern {  }	pattern {  }
至于 + Topic， Comment	"Expressing ""with regards to"" with ""zhiyu"""	pattern {  }	pattern {  }
Subj. + 就 + Scope + Verb + Obj.	"Limiting scope with ""jiu"""	pattern {  }	pattern {  }
就 + Topic + [来说 / 而言] + Comment	"Limiting scope with ""jiu"""	pattern {  }	pattern {  }
趁 + [Situation / Opportunity]……	"Opportune timing with ""chen"""	pattern {  }	pattern {  }
Subj. + 并 + 不 + Verb / Adj.	"Emphasizing a negation with ""bing"""	pattern {  }	pattern {  }
Subj. + 并 + 没（有) + Verb	"Emphasizing a negation with ""bing"""	pattern {  }	pattern {  }
要不是 ⋯⋯（的话），⋯⋯	"Expressing ""if it were not for"" with ""yaobushi"""	pattern {  }	pattern {  }
[Good Outcome] ，多亏 (了) + [Lucky Incident]	"Expressing ""thanks to"" with ""duokui"""	pattern {  }	pattern {  }
多亏 (了) + [Lucky Incident] ，Subj. 才 + [Good Outcome]	"Expressing ""thanks to"" with ""duokui"""	pattern {  }	pattern {  }
多亏 (了) + [Lucky Incident] ，不然 + [Bad Outcome]	"Expressing ""thanks to"" with ""duokui"""	pattern {  }	pattern {  }
(只是 / 就是 / 才 +) Noun + 而已	"Expressing ""that's all"" with ""eryi"""	pattern {  }	pattern {  }
Subj. + (只是 / 就是 / 才 / 仅仅 +) Verb + Obj. + 而已	"Expressing ""that's all"" with ""eryi"""	pattern {  }	pattern {  }
Subj. + 将 + Obj. + [Verb Phrase]	"Using ""jiang"" as a formal ""ba"""	pattern {  }	pattern {  }
Verb + 什么 + Verb ？	"Challenging a verb with ""shenme"""	pattern {  }	pattern {  }
Verb + 什么 + Obj.	"Challenging a verb with ""shenme"""	pattern {  }	pattern {  }
Noun 1 + 像 + Noun 2 + 一样 + Adj. / Verb	"Comparing specifically with ""xiang"""	pattern {  }	pattern {  }
Noun 1 + 不像 + Noun 2 + (⋯⋯ ) 这么 / 那么 + Adj. / Verb	"Comparing specifically with ""xiang"""	pattern {  }	pattern {  }
比起 + B (+ 来) ，A ……	"Comparisons with ""biqi"""	pattern {  }	pattern {  }
相比 + B ，A ……	"Comparisons with ""biqi"""	pattern {  }	pattern {  }
和 / 跟／与 + B + 相比 ，A ……	"Comparisons with ""biqi"""	pattern {  }	pattern {  }
A + 不如 + B	"Comparisons with ""buru"""	pattern {  }	pattern {  }
A + 不如 + B + Adj.	"Comparisons with ""buru"""	pattern {  }	pattern {  }
A + Verb + 得 + 不如 + B + Adj.	"Comparisons with ""buru"""	pattern {  }	pattern {  }
A + Verb-Obj. + 不如 + B+ (Verb + 得) + Adj.	"Comparisons with ""buru"""	pattern {  }	pattern {  }
(与其 …… ，) 不如 ……	"Comparisons with ""buru"""	pattern {  }	pattern {  }
Noun / Adj. + 化	"Making ""-ize"" and ""-ify"" verbs with ""hua"""	pattern {  }	pattern {  }
难怪 + [Specific Person / People] ……	"Using ""nanguai"" as a verb"	pattern {  }	pattern {  }
Subj. + 将 / 将要 / 将会 + [Verb Phrase]	"Expressing future with ""jiang"""	pattern {  }	pattern {  }
[Verb Phrase 1] + 并 + [Verb Phrase 2]	"Combining verbs with ""bing"""	pattern {  }	pattern {  }
Topic + 由 + Person + Verb	"Emphasizing the doer of an action with ""you"""	pattern {  }	pattern {  }
(Subj. +) 难免 + Verb Phrase	"Expressing ""hard to avoid"" with ""nanmian"""	pattern {  }	pattern {  }
[Verb Phrase 1] + 并且 / 并 + [Verb Phrase 2]	"Expressing ""moreover"" with ""bingqie"""	pattern {  }	pattern {  }
[Verb Phrase 1] + 并且 + 也 / 还 + [Verb Phrase 2]	"Expressing ""moreover"" with ""bingqie"""	pattern {  }	pattern {  }
不但 / 不仅 + [Verb Phrase 1] + 并且 + 也 / 还 + [Verb Phrase 2]	"Expressing ""moreover"" with ""bingqie"""	pattern {  }	pattern {  }
值得 + Verb / Verb Phrase	"Expressing ""to be worth"" doing with ""zhide"""	pattern {  }	pattern {  }
(Verb Phrase +) 值得	"Expressing ""to be worth"" doing with ""zhide"""	pattern {  }	pattern {  }
Reason，害(得) + Undesirable Situation	"Indicating negative impact with ""haide"""	pattern {  }	pattern {  }
受 + (Someone / Something) + Verb	"Passive verbs with ""shou"""	pattern {  }	pattern {  }
受 (+ 到/过) + ([Something / Someone] +) Noun / Verb	"Passive verbs with ""shou"""	pattern {  }	pattern {  }
Verb + 着 + Verb + 着 + 就 + Comment + 了	"Using ""zhe"" when ""verbing away"""	pattern {  }	pattern {  }
格外 (地 +) + Advective / Psychological Verb	"Expressing ""especially"" with ""gewai"""	pattern {  }	pattern {  }
尽管⋯⋯ ，(可是 / 但是 +) Subj. + 还是⋯⋯	"Expressing ""although"" with ""jinguan"""	pattern {  }	pattern {  }
⋯⋯ ，Subj. + 倒 +  (也 / 又) ⋯⋯	"Expressing contrariness with ""dao"""	pattern {  }	pattern {  }
Subj. + 倒 ⋯⋯ ，不过 / 但是 / 就是 ⋯⋯	"Expressing contrariness with ""dao"""	pattern {  }	pattern {  }
⋯⋯ ，Subj. + 反而 + [Unexpected Outcome]	"Expressing ""on the contrary"" with ""fan'er"""	pattern {  }	pattern {  }
⋯⋯ ，Subj. [不但 / 不仅] + [不 / 没] ⋯⋯，反而 + [Unexpected Outcome]	"Expressing ""on the contrary"" with ""fan'er"""	pattern {  }	pattern {  }
Sentence ，(但是 +) Subj. + 却 ⋯⋯	"The ""however"" adverb ""que"""	pattern {  }	pattern {  }
由于 + Cause，Effect	"Expressing ""due to…"" with ""youyu"""	pattern {  }	pattern {  }
既然 ＋ Fact, [那 / 就 / 那就] ＋ Suggestion / Inference	"Expressing ""since"" with ""jiran"""	pattern {  }	pattern {  }
既然 + Fact, (那 +) Rhetorical Question	"Expressing ""since"" with ""jiran"""	pattern {  }	pattern {  }
Cause， + 因此 + Effect	"Expressing ""therefore"" with ""yinci"""	pattern {  }	pattern {  }
之所以 ⋯⋯ ，是 + 因为 / 为了 / 想 ⋯⋯	Stating the effect before the cause	pattern {  }	pattern {  }
Verb + 得了 / 不了	Advanced potential complements	pattern {  }	pattern {  }
Verb + 得下 / 不下	Advanced potential complements	pattern {  }	pattern {  }
Verb + 得起 / 不起 + Obj.	Advanced potential complements	pattern {  }	pattern {  }
Verb + 得动 / 不动	Advanced potential complements	pattern {  }	pattern {  }
Verb + 得着 / 不着	Advanced potential complements	pattern {  }	pattern {  }
Subj. + 把 + Obj. + Verb + 起来	"Advanced uses of direction complement ""-qilai"""	pattern {  }	pattern {  }
Adj. + 坏了	"Complement ""-huai le"""	pattern {  }	pattern {  }
Verb + 着	"Complement ""-zhao"""	pattern {  }	pattern {  }
Verb + 得着 / 不着	"Complement ""-zhao"""	pattern {  }	pattern {  }
Verb + 来 + Verb + 去	"Using ""lai"" and ""qu"" when ""verbing around"""	pattern {  }	pattern {  }
只要 + Condition ，就 + Result	"Expressing ""as long as"" with ""zhiyao"""	pattern {  }	pattern {  }
一旦 + Condition，Subj. + 就 + Consequence	"Expressing ""once...then..."" with ""yidan...jiu..."""	pattern {  }	pattern {  }
⋯⋯ ，才 ⋯⋯	"Expressing ""only after"" with ""cai"""	pattern {  }	pattern {  }
只有 + Essential Condition + 才 (能) + Desired Outcome	"Expressing ""only if"" with ""zhiyou"""	pattern {  }	pattern {  }
Noun + 才 + Verb Phrase⋯⋯	"Expressing ""only if"" with ""zhiyou"""	pattern {  }	pattern {  }
Result / Fact ，除非 + Condition	"Expressing ""unless"" with ""chufei"""	pattern {  }	pattern {  }
Condition, (要) 不然 + Result	"Expressing ""unless"" with ""chufei"""	pattern {  }	pattern {  }
除非 + Condition ，[否则 / 不然] + [Result / Fact]	"Expressing ""unless"" with ""chufei"""	pattern {  }	pattern {  }
除非 x，才 y	"Expressing ""unless"" with ""chufei"""	pattern {  }	pattern {  }
即使 ⋯⋯ ，也 ⋯⋯	"Expressing ""even if…"" with ""jishi"""	pattern {  }	pattern {  }
就是 + Hypothetical Statement + 也 + Action	"Expressing ""even if…"" with ""jiushi"""	pattern {  }	pattern {  }
就算 ⋯⋯ ，也 ⋯⋯	"Expressing ""even if…"" with ""jiusuan"""	pattern {  }	pattern {  }
就算 + 再 + Adj. ，也 ⋯⋯	"Expressing ""even if…"" with ""jiusuan"""	pattern {  }	pattern {  }
哪怕 ⋯⋯ ，也 ⋯⋯	"Expressing ""even if…"" with ""napa"""	pattern {  }	pattern {  }
哪怕 + [Subj. 1] + 再 ⋯⋯ ，[Subj. 2] + 也 ⋯⋯	"Expressing ""even if…"" with ""napa"""	pattern {  }	pattern {  }
假如 + Statement + 就 + Result	"Expressing ""if… then…"" with ""jiaru"""	pattern {  }	pattern {  }
要是 + Subj. ⋯⋯ ， 就 ⋯⋯	"Expressing ""if… then…"" with ""yaoshi"""	pattern {  }	pattern {  }
要不是 ⋯⋯ ，⋯⋯	"Expressing ""if… then…"" with ""yaoshi"""	pattern {  }	pattern {  }
万一 ⋯⋯ 怎么办 ？	"Expressing ""what if"" with ""wanyi"""	pattern {  }	pattern {  }
万一 ⋯⋯ 呢 ？	"Expressing ""what if"" with ""wanyi"""	pattern {  }	pattern {  }
万一 ⋯⋯ ，⋯⋯	"Expressing ""what if"" with ""wanyi"""	pattern {  }	pattern {  }
Topic + 的话 ，Comment	"Marking a topic with ""de hua"""	pattern {  }	pattern {  }
不管 + Question Word ，(Subj. +) 都 ⋯⋯	"Expressing ""no matter"" with ""buguan"""	pattern {  }	pattern {  }
不管 + 是 + Option A + 还是 + Option B ，Subj. + 都 ⋯⋯	"Expressing ""no matter"" with ""buguan"""	pattern {  }	pattern {  }
不管 + [Verb /  Adj.] + 不 + [Verb /  Adj.]，Subj. + 都 ⋯⋯	"Expressing ""no matter"" with ""buguan"""	pattern {  }	pattern {  }
不管 + 多 + Adj., Subj. + 都 ⋯⋯	"Expressing ""no matter"" with ""buguan"""	pattern {  }	pattern {  }
无论 + Circumstances + 都 / 也 + Inevitable Result	"Expressing ""no matter"" with ""wulun"""	pattern {  }	pattern {  }
Subj. + 把 + Obj. + 给 + Verb Phrase	"Advanced uses of ""ba"""	pattern {  }	pattern {  }
把 + Obj.+ 当成 / 看成 / 当作 / 看作 +⋯⋯	"Advanced uses of ""ba"""	pattern {  }	pattern {  }
(别 / 不）把 + Obj. + 当回事	"Advanced uses of ""ba"""	pattern {  }	pattern {  }
把 + Obj. 1 + Verb + 成 + Obj. 2	"Advanced uses of ""ba"""	pattern {  }	pattern {  }
把 + Obj. 1 + Perception Verb + 成 + Obj. 2	"Advanced uses of ""ba"""	pattern {  }	pattern {  }
连 + Verb + 都 + 不 / 没 + Verb (，就 ⋯⋯)	"Advanced uses of ""lian"""	pattern {  }	pattern {  }
连 + 一 + Measure Word (+ Noun) + 都 + 不 / 没 + Verb	"Advanced uses of ""lian"""	pattern {  }	pattern {  }
Noun 1 + 不比 + Noun 2 + Adj.	"Basic comparisons with ""bu bi"""	pattern {  }	pattern {  }
A + 不比 + B + Verb + 得 + Adj.	"Basic comparisons with ""bu bi"""	pattern {  }	pattern {  }
要 + Verb + 就 + Verb ……	"Conditions with ""yao"" and ""jiu"""	pattern {  }	pattern {  }
任何 + Noun + 都 / 也 ……	"Expressing ""any"" with ""renhe"""	pattern {  }	pattern {  }
既 + A + 又 + B	"Expressing ""both… and…"" with ""ji...you"""	pattern {  }	pattern {  }
既 + [Verb Phrase] ，也 + [Verb Phrase]	"Expressing ""both… and…"" with ""ji...you"""	pattern {  }	pattern {  }
Subj. + 少不了 + Noun / Verb Phrase	"Expressing ""can't do without"" with ""shaobuliao"""	pattern {  }	pattern {  }
Situation / Result ，少不了 + 是 + Reason	"Expressing ""can't do without"" with ""shaobuliao"""	pattern {  }	pattern {  }
A 等于 B	"Expressing ""equal to"" with ""dengyu"""	pattern {  }	pattern {  }
从  + Source + 中 + Result	"Expressing ""from"" with ""cong... zhong"""	pattern {  }	pattern {  }
Verb + 就 + Verb	"Expressing indifference with ""jiu"""	pattern {  }	pattern {  }
不 + Adj. / Verb + 就 + 不 + Adj. / Verb	"Expressing indifference with ""jiu"""	pattern {  }	pattern {  }
无 + Noun + 可 + Verb	"Expressing ""no"" (noun) ""to"" (verb) with ""wu... ke..."""	pattern {  }	pattern {  }
一 + Measure Word + Noun + [也 / 都] + [不 / 没] + Verb	"Expressing ""not even one"""	pattern {  }	pattern {  }
Topic + Subj. + 一 + Measure Word + Noun + [也 / 都] + Verb	"Expressing ""not even one"""	pattern {  }	pattern {  }
Subj. + 不但 ⋯⋯ ，甚至连 + New Subject + 也 + Matching Situation	"Expressing ""not only..., even..."" using ""budan..., shenzhi lian"""	pattern {  }	pattern {  }
Action ，好 + Purpose	"Expressing purpose with ""hao"""	pattern {  }	pattern {  }
跟 / 和 + Topic + 有关的 + Noun	"Expressing ""related to..."" with ""you guan de"""	pattern {  }	pattern {  }
一面 + Verb +  一面 + Verb	"Expressing simultaneous actions with ""yimian"""	pattern {  }	pattern {  }
所谓 + (的) Noun Phrase	"Expressing ""so-called"" with ""suowei"""	pattern {  }	pattern {  }
Subj. + 越 ⋯⋯ ，越 ⋯⋯	"Expressing ""the more... the more..."" with ""yue… yue…"""	pattern {  }	pattern {  }
Subj. 1 + 越 ⋯⋯ ，Subj. 2 + 越 ⋯⋯	"Expressing ""the more... the more..."" with ""yue… yue…"""	pattern {  }	pattern {  }
越 ⋯⋯ 越 + 不 ⋯⋯	"Expressing ""the more... the more..."" with ""yue… yue…"""	pattern {  }	pattern {  }
Subj. + 越 + Verb + 越 + 想 + Verb	"Expressing ""the more... the more..."" with ""yue… yue…"""	pattern {  }	pattern {  }
不是 + A，就是 + B	Expressing the only two possibilities	pattern {  }	pattern {  }
在 + (a period of time) + 内	"Expressing ""within"" a period of time using ""zai... nei"""	pattern {  }	pattern {  }
宁可⋯⋯ ，也不⋯⋯	"Expressing ""would rather"" with ""ningke"""	pattern {  }	pattern {  }
宁可 ⋯⋯ ，也要 ⋯⋯	"Expressing ""would rather"" with ""ningke"""	pattern {  }	pattern {  }
别说 + A ， 连  / 就是+ B + 也 / 都 + Verb	"Expressing ""let alone"" with ""bie shuo"""	pattern {  }	pattern {  }
连 + A + 都 / 也 + Verb， 更不用说 + B + 了	"Expressing ""let alone"" with ""geng buyong shuo"""	pattern {  }	pattern {  }
Subj. + 不仅 / 不但 / 不只 + ⋯⋯，而且 / 还 / 也 + ⋯⋯	"Many types of ""not only... but also..."""	pattern {  }	pattern {  }
Subj. + Verb + 得 + 倒 + Adj.	"Advanced usages of the contrary ""dao"""	pattern {  }	pattern {  }
Subj. + 倒 + Adj.	"Advanced usages of the contrary ""dao"""	pattern {  }	pattern {  }
你 + 倒是 + Verb + 呀 / 啊	"Advanced usages of the contrary ""dao"""	pattern {  }	pattern {  }
Subj. + 很是 + Adj.	"Emphasizing with ""henshi"""	pattern {  }	pattern {  }
Subj. + 很是 + 会 / 能 + Verb	"Emphasizing with ""henshi"""	pattern {  }	pattern {  }
足足 + Verb	"Expressing ""a full"" with ""zuzu"""	pattern {  }	pattern {  }
Subj. + 一再 + Verb	"Expressing ""again and again"" with ""yizai"""	pattern {  }	pattern {  }
凡是 + Noun + 都 / 就 / 一律 + Predicate	"Expressing ""all"" with ""fanshi"""	pattern {  }	pattern {  }
凡(是) + Noun + 无不 / 均 + Predicate	"Expressing ""all"" with ""fanshi"""	pattern {  }	pattern {  }
Subject + 向来（都） + Verb/Verb Phrase	"Expressing ""always previously"" with ""xianglai"""	pattern {  }	pattern {  }
Subj. + 果然 + Predicate	"Expressing ""as expected"" with ""guoran"""	pattern {  }	pattern {  }
Clause 1 ，果然 ，Clause 2	"Expressing ""as expected"" with ""guoran"""	pattern {  }	pattern {  }
Subj. + 似乎 ⋯⋯	"Expressing ""as if"" with ""sihu"""	pattern {  }	pattern {  }
A, Subject + 偏偏 + B	"Expressing ""contrary to expectations"" with ""pianpian"""	pattern {  }	pattern {  }
(Subj. +) 再不 …… 也 ……（了）	"Expressing ""even so"" with ""zaibu... ye..."""	pattern {  }	pattern {  }
一律 (+ 都) + Verb / Adj.	"Expressing ""no exception"" with ""yilu"""	pattern {  }	pattern {  }
无非 + 是 + Verb Phrase	"Expressing ""nothing but"" with ""wufei"""	pattern {  }	pattern {  }
无非 + 是 + Noun Phrase	"Expressing ""nothing but"" with ""wufei"""	pattern {  }	pattern {  }
Subj. + 竟然 ⋯⋯	"Expressing the unexpected with ""jingran"""	pattern {  }	pattern {  }
……，到时候 + ……	"Expressing ""when the time comes"" with ""dao shihou"""	pattern {  }	pattern {  }
Subj. + 何必 + Predicate	"Expressing ""why"" with ""hebi"""	pattern {  }	pattern {  }
何必⋯⋯ 呢 ？⋯⋯	"Expressing ""why"" with ""hebi"""	pattern {  }	pattern {  }
Sentence + 来着	"Expressing that something has already happened with ""laizhe"""	pattern {  }	pattern {  }
[Noun Phrase 1]，[Noun Phrase 2] + 以及 + [Noun Phrase 3]	"Expressing ""as well as"" with ""yiji"""	pattern {  }	pattern {  }
（⋯⋯ ，）总之 ，⋯⋯	"Expressing ""in short"" with ""zongzhi"""	pattern {  }	pattern {  }
Subject + Predicate, 则 + Subject + Predicate	"Indicating contrast with ""ze"""	pattern {  }	pattern {  }
Clause 1，+ 而 Subject + 则 + Predicate	"Indicating contrast with ""ze"""	pattern {  }	pattern {  }
以免 + Verb Phrase	"""In order to avoid"" with ""yimian"""	pattern {  }	pattern {  }
以免 + Sentence	"""In order to avoid"" with ""yimian"""	pattern {  }	pattern {  }
本 + Noun	"Expressing ""your side"" with ""ben"""	pattern {  }	pattern {  }
Word + 性	"Indicating a characteristic with ""xing"""	pattern {  }	pattern {  }
是否 + Verb / Adj.	"Expressing ""is or is not"" with ""shifou"""	pattern {  }	pattern {  }
Noun + 之 + Noun	"Expressing possession with ""zhi"""	pattern {  }	pattern {  }
Verb/Adjective + 与否	"Expressing ""whether or not"" with ""yufou"""	pattern {  }	pattern {  }
Sentence + 呗	"Using the particle ""bei"""	pattern {  }	pattern {  }
鉴于 + observation, conclusion/suggestion	"Expressing ""in light of"" with ""jianyu"""	pattern {  }	pattern {  }
Subj. + 非(要) + [Verb Phrase] + 不可	"Adding emphasis with ""fei....buke"""	pattern {  }	pattern {  }
非 + Subj. + [Verb Phrase] + 不可	"Adding emphasis with ""fei....buke"""	pattern {  }	pattern {  }
非(要) + Subj. + [Verb Phrase] + 不可	"Adding emphasis with ""fei....buke"""	pattern {  }	pattern {  }
岂不是 + rhetorical question	"""Could it be that"" with ""qibushi"""	pattern {  }	pattern {  }
Subj. + 兼 + Verb + Noun 1 + 和 + Noun 2	"Expressing ""at the same time"" with ""jian"""	pattern {  }	pattern {  }
Subj. + 是 + Noun 1 + 兼 +  Noun 2	"Expressing ""at the same time"" with ""jian"""	pattern {  }	pattern {  }
Fact, + 莫非 + conjecture + (不成)?	"Expressing ""could it be possible that"" with ""mofei"""	pattern {  }	pattern {  }
Subject + 莫非 + rhetorical question	"Expressing ""could it be possible that"" with ""mofei"""	pattern {  }	pattern {  }
莫非 + Subject + rhetorical question	"Expressing ""could it be possible that"" with ""mofei"""	pattern {  }	pattern {  }
Reasons, 由此 + results and implications	"Expressing ""from this"" with ""youci"""	pattern {  }	pattern {  }
Statement,  非 (得) + Action + 不可 / 不行	"Expressing “must"" with ""feidei"""	pattern {  }	pattern {  }
Topics or questions + 莫过于 + answer	"Expressing ""nothing is more...than"" with ""moguoyu"""	pattern {  }	pattern {  }
与其 ⋯⋯ ，不如 ⋯⋯	"Expressing ""rather than..."" with ""yuqi... buru"""	pattern {  }	pattern {  }
与其 ⋯⋯ ，Subj. + 宁可 / 宁愿 ⋯⋯	"Expressing ""rather than..."" with ""yuqi... buru"""	pattern {  }	pattern {  }
与其说 + A，不如说 + B	"Expressing ""rather than..."" with ""yuqi... buru"""	pattern {  }	pattern {  }
跟 + Noun/Pronoun/Adjective + 似的	"Expressing ""similar to"" with ""gen... shide"""	pattern {  }	pattern {  }
Subject + 不愧是（不愧为）+ reputation	"Expressing ""to be worthy of"" with ""bukuishi"""	pattern {  }	pattern {  }
Area of responsibility + 由 + Person(s) + 做主	"Expressing who is in charge with ""you... zuozhu"""	pattern {  }	pattern {  }
一来 + Reason 1 ，二来 + Reason 2	"Stating two or more reasons with ""yilai...erlai"""	pattern {  }	pattern {  }
以 + A + 为 + B	"Using ""yi... wei..."""	pattern {  }	pattern {  }
谅 + Subject + verb phrase	"Expressing ""I bet"" using ""liang"""	pattern {  }	pattern {  }
⋯⋯ 在于 ⋯⋯	"Expressing ""lies in"" with ""zaiyu"""	pattern {  }	pattern {  }
⋯⋯ 在于 + Person / Party	"Expressing ""lies in"" with ""zaiyu"""	pattern {  }	pattern {  }
Subject + 不屑(于) + verb/verb phrase	"Expressing something is ""not worth doing"" with ""buxie"""	pattern {  }	pattern {  }
[Action] +  以便 （+ 能） + [Outcome]	"Facilitating an outcome with ""yibian"""	pattern {  }	pattern {  }
Subj. + 因(为) + Cause + 而 + Result	"Using ""because"" with ""er"" to indicate effect"	pattern {  }	pattern {  }
假使 + Statement + 就 + Result	"Expressing ""if… then…"" with ""jiashi"""	pattern {  }	pattern {  }
Subj. + 为 + Goal + 而 + Efforts Made	"Explaining purpose with ""wei... er..."""	pattern {  }	pattern {  }
Subj. + 不 + 为 + Goal + 而 + Efforts Made	"Explaining purpose with ""wei... er..."""	pattern {  }	pattern {  }
以 + Subj. + 名义	"Expressing ""in the name of"" with ""yi... de mingyi"""	pattern {  }	pattern {  }
Subj. + 连 ⋯⋯ 都 + Verb ，何况 ⋯⋯ 呢 ？	"Expressing ""let alone"" with ""hekuang"""	pattern {  }	pattern {  }
Subj. + 连 ⋯⋯ 都 + 不 / 没 + Verb ，何况 ⋯⋯ 呢 ？	"Expressing ""let alone"" with ""hekuang"""	pattern {  }	pattern {  }
Subj. (+ 尚且) + 都 / 就 ⋯⋯ ，（更）何况 ⋯⋯	"Expressing ""let alone"" with ""hekuang"""	pattern {  }	pattern {  }
